,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
226501,Offence Against a Person,2018,6,18,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226506,Offence Against a Person,2018,6,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226513,Offence Against a Person,2018,3,31,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226524,Offence Against a Person,2018,7,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226526,Offence Against a Person,2018,2,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226543,Offence Against a Person,2018,11,17,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226609,Offence Against a Person,2018,8,11,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226643,Offence Against a Person,2018,7,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226651,Offence Against a Person,2018,1,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226672,Offence Against a Person,2018,5,6,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226703,Offence Against a Person,2018,1,31,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226707,Offence Against a Person,2018,6,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226712,Offence Against a Person,2018,11,19,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226730,Offence Against a Person,2018,3,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226735,Offence Against a Person,2018,6,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226755,Offence Against a Person,2018,3,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226771,Offence Against a Person,2018,5,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226782,Offence Against a Person,2018,1,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226796,Offence Against a Person,2018,3,18,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226815,Offence Against a Person,2018,3,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226816,Offence Against a Person,2018,4,25,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226856,Offence Against a Person,2018,7,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226875,Offence Against a Person,2018,6,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226944,Offence Against a Person,2018,11,17,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226984,Offence Against a Person,2018,2,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226985,Offence Against a Person,2018,5,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
226998,Offence Against a Person,2018,7,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227043,Offence Against a Person,2018,11,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227054,Offence Against a Person,2018,9,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227101,Offence Against a Person,2018,1,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227116,Offence Against a Person,2018,3,17,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227121,Offence Against a Person,2018,10,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227139,Offence Against a Person,2018,6,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227213,Offence Against a Person,2018,8,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227216,Offence Against a Person,2018,4,11,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227226,Offence Against a Person,2018,8,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227236,Offence Against a Person,2018,6,6,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227258,Offence Against a Person,2018,7,28,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227261,Offence Against a Person,2018,5,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227384,Offence Against a Person,2018,3,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227392,Offence Against a Person,2018,1,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227393,Offence Against a Person,2018,2,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227410,Offence Against a Person,2018,6,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227411,Offence Against a Person,2018,7,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227412,Offence Against a Person,2018,12,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227468,Offence Against a Person,2018,5,26,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227494,Offence Against a Person,2018,7,6,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227500,Offence Against a Person,2018,9,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227509,Offence Against a Person,2018,5,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227514,Offence Against a Person,2018,5,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227540,Offence Against a Person,2018,6,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227541,Offence Against a Person,2018,7,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227557,Offence Against a Person,2018,7,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227576,Offence Against a Person,2018,2,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227578,Offence Against a Person,2018,7,28,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227599,Offence Against a Person,2018,12,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227604,Offence Against a Person,2018,12,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227622,Offence Against a Person,2018,8,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227641,Offence Against a Person,2018,7,26,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227642,Offence Against a Person,2018,12,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227653,Offence Against a Person,2018,1,26,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227663,Offence Against a Person,2018,6,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227701,Offence Against a Person,2018,6,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227702,Offence Against a Person,2018,1,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227703,Offence Against a Person,2018,11,25,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227748,Offence Against a Person,2018,12,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227760,Offence Against a Person,2018,4,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227771,Offence Against a Person,2018,1,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227772,Offence Against a Person,2018,2,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227782,Offence Against a Person,2018,1,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227795,Offence Against a Person,2018,7,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227847,Offence Against a Person,2018,9,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227882,Offence Against a Person,2018,7,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227898,Offence Against a Person,2018,7,28,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227915,Offence Against a Person,2018,5,6,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227970,Offence Against a Person,2018,1,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227983,Offence Against a Person,2018,11,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
227988,Offence Against a Person,2018,11,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228015,Offence Against a Person,2018,9,23,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228016,Offence Against a Person,2018,7,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228025,Offence Against a Person,2018,2,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228026,Offence Against a Person,2018,3,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228042,Offence Against a Person,2018,10,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228071,Offence Against a Person,2018,10,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228116,Offence Against a Person,2018,11,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228118,Offence Against a Person,2018,12,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228119,Offence Against a Person,2018,9,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228159,Offence Against a Person,2018,5,18,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228182,Offence Against a Person,2018,5,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228188,Offence Against a Person,2018,2,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228218,Offence Against a Person,2018,2,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228242,Offence Against a Person,2018,10,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228243,Offence Against a Person,2018,2,18,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228291,Offence Against a Person,2018,9,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228293,Offence Against a Person,2018,5,31,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228306,Offence Against a Person,2018,6,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228310,Offence Against a Person,2018,7,24,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228327,Offence Against a Person,2018,7,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228374,Offence Against a Person,2018,7,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228382,Offence Against a Person,2018,7,28,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228384,Offence Against a Person,2018,8,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228414,Offence Against a Person,2018,11,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228425,Offence Against a Person,2018,12,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228432,Offence Against a Person,2018,5,8,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228439,Offence Against a Person,2018,8,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228564,Offence Against a Person,2018,9,23,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228586,Offence Against a Person,2018,8,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228601,Offence Against a Person,2018,1,25,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228627,Offence Against a Person,2018,1,6,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228634,Offence Against a Person,2018,5,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228701,Offence Against a Person,2018,11,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228720,Offence Against a Person,2018,9,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228811,Offence Against a Person,2018,12,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228815,Offence Against a Person,2018,3,31,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228816,Offence Against a Person,2018,6,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228824,Offence Against a Person,2018,10,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228839,Offence Against a Person,2018,8,25,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228842,Offence Against a Person,2018,5,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228845,Offence Against a Person,2018,10,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228846,Offence Against a Person,2018,10,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228857,Offence Against a Person,2018,8,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228889,Offence Against a Person,2018,6,19,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228932,Offence Against a Person,2018,9,8,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
228991,Offence Against a Person,2018,6,23,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229039,Offence Against a Person,2018,7,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229047,Offence Against a Person,2018,2,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229094,Offence Against a Person,2018,6,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229138,Offence Against a Person,2018,1,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229220,Offence Against a Person,2018,4,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229228,Offence Against a Person,2018,2,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229234,Offence Against a Person,2018,2,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229240,Offence Against a Person,2018,9,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229254,Offence Against a Person,2018,5,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229265,Offence Against a Person,2018,2,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229302,Offence Against a Person,2018,1,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229384,Offence Against a Person,2018,8,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229385,Offence Against a Person,2018,8,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229446,Offence Against a Person,2018,7,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229458,Offence Against a Person,2018,10,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229459,Offence Against a Person,2018,12,11,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229460,Offence Against a Person,2018,10,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229467,Offence Against a Person,2018,8,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229551,Offence Against a Person,2018,2,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229571,Offence Against a Person,2018,11,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229589,Offence Against a Person,2018,2,11,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229601,Offence Against a Person,2018,10,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229631,Offence Against a Person,2018,3,17,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229689,Offence Against a Person,2018,12,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229704,Offence Against a Person,2018,9,23,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229767,Offence Against a Person,2018,11,26,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229791,Offence Against a Person,2018,2,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229794,Offence Against a Person,2018,4,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229795,Offence Against a Person,2018,8,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229821,Offence Against a Person,2018,7,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229835,Offence Against a Person,2018,10,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229849,Offence Against a Person,2018,2,24,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229850,Offence Against a Person,2018,8,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229887,Offence Against a Person,2018,10,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229888,Offence Against a Person,2018,5,31,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229889,Offence Against a Person,2018,9,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229893,Offence Against a Person,2018,12,28,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229924,Offence Against a Person,2018,11,28,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
229926,Offence Against a Person,2018,12,24,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230154,Offence Against a Person,2018,1,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230167,Offence Against a Person,2018,9,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230172,Offence Against a Person,2018,5,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230188,Offence Against a Person,2018,12,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230249,Offence Against a Person,2018,1,24,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230257,Offence Against a Person,2018,3,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230317,Offence Against a Person,2018,11,26,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230336,Offence Against a Person,2018,1,8,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230337,Offence Against a Person,2018,11,23,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230380,Offence Against a Person,2018,11,18,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230383,Offence Against a Person,2018,7,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230507,Offence Against a Person,2018,9,24,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230534,Offence Against a Person,2018,6,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230570,Offence Against a Person,2018,1,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230576,Offence Against a Person,2018,8,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230582,Offence Against a Person,2018,11,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230638,Offence Against a Person,2018,8,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230658,Offence Against a Person,2018,8,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230668,Offence Against a Person,2018,6,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230695,Offence Against a Person,2018,12,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230754,Offence Against a Person,2018,2,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230800,Offence Against a Person,2018,5,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230829,Offence Against a Person,2018,9,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230900,Offence Against a Person,2018,9,26,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230901,Offence Against a Person,2018,5,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230902,Offence Against a Person,2018,5,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230917,Offence Against a Person,2018,2,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230927,Offence Against a Person,2018,1,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230929,Offence Against a Person,2018,11,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230935,Offence Against a Person,2018,7,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230970,Offence Against a Person,2018,12,31,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
230981,Offence Against a Person,2018,8,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231050,Offence Against a Person,2018,6,8,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231110,Offence Against a Person,2018,8,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231200,Offence Against a Person,2018,3,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231222,Offence Against a Person,2018,5,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231273,Offence Against a Person,2018,8,25,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231280,Offence Against a Person,2018,7,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231394,Offence Against a Person,2018,4,17,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231395,Offence Against a Person,2018,6,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231407,Offence Against a Person,2018,3,19,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231526,Offence Against a Person,2018,2,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231599,Offence Against a Person,2018,6,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231651,Offence Against a Person,2018,7,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231685,Offence Against a Person,2018,3,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231691,Offence Against a Person,2018,10,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231723,Offence Against a Person,2018,2,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231736,Offence Against a Person,2018,6,17,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231769,Offence Against a Person,2018,3,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231773,Offence Against a Person,2018,4,24,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231782,Offence Against a Person,2018,8,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231784,Offence Against a Person,2018,11,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231802,Offence Against a Person,2018,3,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231813,Offence Against a Person,2018,10,15,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231824,Offence Against a Person,2018,4,6,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231842,Offence Against a Person,2018,5,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231868,Offence Against a Person,2018,8,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231871,Offence Against a Person,2018,2,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231902,Offence Against a Person,2018,5,31,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231903,Offence Against a Person,2018,10,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231955,Offence Against a Person,2018,12,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
231993,Offence Against a Person,2018,6,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232010,Offence Against a Person,2018,10,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232068,Offence Against a Person,2018,9,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232094,Offence Against a Person,2018,7,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232109,Offence Against a Person,2018,2,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232111,Offence Against a Person,2018,11,27,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232210,Offence Against a Person,2018,11,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232216,Offence Against a Person,2018,8,24,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232395,Offence Against a Person,2018,5,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232396,Offence Against a Person,2018,5,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232397,Offence Against a Person,2018,2,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232414,Offence Against a Person,2018,5,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232535,Offence Against a Person,2018,6,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232546,Offence Against a Person,2018,9,11,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232657,Offence Against a Person,2018,10,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232670,Offence Against a Person,2018,5,25,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232688,Offence Against a Person,2018,10,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232718,Offence Against a Person,2018,2,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232743,Offence Against a Person,2018,6,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232747,Offence Against a Person,2018,8,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232774,Offence Against a Person,2018,2,8,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232782,Offence Against a Person,2018,6,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232788,Offence Against a Person,2018,6,23,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232795,Offence Against a Person,2018,3,20,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232814,Offence Against a Person,2018,11,22,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232843,Offence Against a Person,2018,7,26,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232897,Offence Against a Person,2018,10,17,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232937,Offence Against a Person,2018,6,12,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
232960,Offence Against a Person,2018,7,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233006,Offence Against a Person,2018,7,30,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233020,Offence Against a Person,2018,7,14,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233059,Offence Against a Person,2018,2,3,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233069,Offence Against a Person,2018,10,11,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233103,Offence Against a Person,2018,11,7,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233150,Offence Against a Person,2018,9,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233191,Offence Against a Person,2018,7,11,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233354,Offence Against a Person,2018,5,8,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233364,Offence Against a Person,2018,9,2,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233382,Offence Against a Person,2018,8,16,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233383,Offence Against a Person,2018,8,10,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233416,Offence Against a Person,2018,11,29,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233419,Offence Against a Person,2018,8,21,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233454,Offence Against a Person,2018,6,9,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233523,Offence Against a Person,2018,9,6,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233642,Offence Against a Person,2018,7,13,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233749,Offence Against a Person,2018,10,1,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233753,Offence Against a Person,2018,8,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233758,Offence Against a Person,2018,6,4,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
233789,Offence Against a Person,2018,4,5,0,0,OFFSET TO PROTECT PRIVACY,,0.0,0.0
